#day,name,nightly,weekly,monthly
Sep-06-2014,225769,90,550,*
Sep-07-2014,225769,90,550,*
Sep-08-2014,225769,90,550,*
Sep-09-2014,225769,90,550,*
Sep-10-2014,225769,90,550,*
Sep-11-2014,225769,90,550,*
Sep-12-2014,225769,90,550,*
Sep-13-2014,225769,90,550,*
Sep-14-2014,225769,90,550,*
Sep-15-2014,225769,90,550,*
Sep-16-2014,225769,90,550,*
Sep-17-2014,225769,90,550,*
Sep-18-2014,225769,90,550,*
Sep-19-2014,225769,90,550,*
Sep-20-2014,225769,90,550,*
Sep-21-2014,225769,90,550,*
Sep-22-2014,225769,90,550,*
Sep-23-2014,225769,90,550,*
Sep-24-2014,225769,90,550,*
Sep-25-2014,225769,90,550,*
Sep-26-2014,225769,90,550,*
Sep-27-2014,225769,90,550,*
Sep-28-2014,225769,90,550,*
Sep-29-2014,225769,90,550,*
Sep-30-2014,225769,90,550,*
Oct-01-2014,225769,90,550,*
Oct-02-2014,225769,90,550,*
Oct-03-2014,225769,90,550,*
Oct-04-2014,225769,100,675,*
Oct-05-2014,225769,100,675,*
Oct-06-2014,225769,100,675,*
Oct-07-2014,225769,100,675,*
Oct-08-2014,225769,100,675,*
Oct-09-2014,225769,100,675,*
Oct-10-2014,225769,100,675,*
Oct-11-2014,225769,100,675,*
Oct-12-2014,225769,100,675,*
Oct-13-2014,225769,100,675,*
Oct-14-2014,225769,100,675,*
Oct-15-2014,225769,100,675,*
Oct-16-2014,225769,100,675,*
Oct-17-2014,225769,100,675,*
Oct-18-2014,225769,90,575,*
Oct-19-2014,225769,90,575,*
Oct-20-2014,225769,90,575,*
Oct-21-2014,225769,90,575,*
Oct-22-2014,225769,90,575,*
Oct-23-2014,225769,90,575,*
Oct-24-2014,225769,90,575,*
Oct-25-2014,225769,90,575,*
Oct-26-2014,225769,90,575,*
Oct-27-2014,225769,90,575,*
Oct-28-2014,225769,90,575,*
Oct-29-2014,225769,90,575,*
Oct-30-2014,225769,90,575,*
Oct-31-2014,225769,90,575,*
Nov-01-2014,225769,*,425,950
Nov-02-2014,225769,*,425,950
Nov-03-2014,225769,*,425,950
Nov-04-2014,225769,*,425,950
Nov-05-2014,225769,*,425,950
Nov-06-2014,225769,*,425,950
Nov-07-2014,225769,*,425,950
Nov-08-2014,225769,*,425,950
Nov-09-2014,225769,*,425,950
Nov-10-2014,225769,*,425,950
Nov-11-2014,225769,*,425,950
Nov-12-2014,225769,*,425,950
Nov-13-2014,225769,*,425,950
Nov-14-2014,225769,*,425,950
Nov-15-2014,225769,*,425,950
Nov-16-2014,225769,*,425,950
Nov-17-2014,225769,*,425,950
Nov-18-2014,225769,*,425,950
Nov-19-2014,225769,*,425,950
Nov-20-2014,225769,*,425,950
Nov-21-2014,225769,*,425,950
